fid,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,Date,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1,FID_,f_datetime,Time,Scientific,LAI_g_B,Pocket_LAI,AccuPAR,443_1,490_1,560_1,665_1,705_1,740_1,783_1,842_1,865_1,945_1,1610_1,2190_1,layer,path
"11",MR,"112",CAMELINA,80,25,B,"-1",paralelo to the way,CL,"-1","-1","0","-1",CAMELINA tiene muchas calvas y corros. LAI muy variado,345141.533454,4627140.235,2018/05/07,,,,2.222,1.11542368632,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"12",MR,"113",CEBADA,50,12,N,GU,paralelo al camino de la camelina,CL,D,R,"0",VPG,,345321.28168,4627155.64264,2018/05/07,,,,1.81,0.46631534395,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"13",MR,"114",VEZA,30,0,B,GU,,CL,D,R,"0",VPG,,345467.826975,4626917.15242,2018/05/07,,,,1.728,0.42815884903,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"14",MR,"115",CENTENO,80,0,N,GU,,PC,D,"-1","0","-1",,345680.157111,4627209.61857,2018/05/07,,,,3.57,0.91495901548,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"15",MR,"116",TRIGO BLANDO,60,12,N,GU,,CL,D,R,"0",VPG,,346165.482559,4627313.32121,2018/05/07,,,,2.908,0.77027267899,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"16",MR,"117",GARBANZOS,6,15,B,GU,paralelo to the way between sugarbeet,CL,D,R,"0",VPG,,345364.546906,4626427.97867,2018/05/07,,,,0.16,0.09027735043,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"17",MR,"118",GIRASOL,3,50,B,EM,paralelo al camino,CL,D,R,"0","-1",Se registra el ESU peor no se mide el LAI dado que se corresponde a 0. Apenas tiene los cotiledones,345262.317775,4626367.69734,2018/05/07,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"18",MR,"119",REMOLACHA,4,0,B,EM,,CL,D,I,"0",VPG,,345228.788433,4626204.65732,2018/05/07,,,,0.04666666667,0.01154700538,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"19",MR,"120",GIRASOL,3,50,B,EM,,CL,D,R,"0",VPG,solo hago dos medidas de LAI  por estad casi a cero,345170.332442,4625893.68685,2018/05/07,,,,0.01,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"20",Greg,"2101",LENTEJAS,24,20,B,GU,,PC,D,R,"0",VPG,el mismo ESU q 101. se conduce mesures in this campaign,347380.875969,4605277.62626,2018/05/11,,,,2.256,0.35920746095,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"21",Greg,"121",MAIZ,6,70,B,EM,perpendicular to the path,PC,S,I,"1",VPG,"asegurarse que es maiz. esta muy húmedo,  regado. solo hago 3 medidas xq es casi 0",346214.426508,4604261.32953,2018/05/11,,,,0.0125,0.01892969449,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"22",Greg,"2102",RAYGRAS,20,0,N,GU,,PC,"-1",R,"0",VPG,lo han segado. merece la pena seguir mi siendo el lai aquí?,345471.836867,4603233.77,2018/05/11,,,,1.11,1.7818669984,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"23",Gsec,"2103",CEBADA,80,0,N,MA,,PC,D,R,"0",VPG,esta espigando.  aún sin grano,339487.069566,4602406.50208,2018/05/11,,,,3.656,0.77044143191,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"24",Gsec,"2104",ALFALFA,40,0,B,FL,,PC,D,R,"0",VPG,,339203.100037,4601229.80994,2018/05/11,,,,3.20666666667,1.91410205231,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"25",Gsec,"2106",MEZCLA AVENA-CEBADA,70,10,N,MA,paralel to the path,PC,D,R,"0",VPG,mezcla de muchos cereales y malas hierbas,339299.315389,4601151.98345,2018/05/11,,,,4.006,0.76248278669,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"26",Gsec,"2105",LENTEJAS,15,12,B,GU,paralel to the path,PC,D,R,"0",VPG,,339312.189004,4601279.94351,2018/05/11,,,,0.602,0.24283739416,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"27",MR,"2116",TRIGO BLANDO,70,0,N,MA,,CL,D,R,"0",VPG,,346139.235,4627382.45339,2018/05/17,,,,3.05,0.47607772475,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"28",MR,"2113",CEBADA,65,0,N,MA,,CL,D,R,"0",VPG,,345341.788774,4627114.01128,2018/05/17,,,,2.624,0.40109849165,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
"29",MR,"2114",VEZA,45,0,B,FL,,CL,D,R,"0",VPG,,345423.801727,4626882,2018/05/17,,,,2.724,0.49196544594,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Centroides,"Point?crs=EPSG:25830&field=StudySite:string(254,0)&field=ESUnumber:long(10,0)&field=CropType:string(254,0)&field=CropHeight:double(18,11)&field=Rowspacing:double(18,11)&field=LeafType:string(254,0)&field=PhenoState:string(254,0)&field=RowOrienta:string(254,0)&field=SkyCond:string(254,0)&field=SamplStrat:string(254,0)&field=Irrigation:string(254,0)&field=b_Tilled:long(10,0)&field=Operators:string(254,0)&field=d_observa:string(254,0)&field=X_UTM:double(18,11)&field=Y_UTM:double(18,11)&field=Date:date(10,0)&field=LAI_g_B_mi:string(254,0)&field=fCover:string(254,0)&field=LicorLAI:string(254,0)&field=LAI_AccuPA:double(18,11)&field=SD_LAI_Acc:double(18,11)&field=B443_1:string(254,0)&field=B490_1:double(18,11)&field=B560_1:double(18,11)&field=B665_1:string(254,0)&field=B705_1:string(254,0)&field=B740_1:string(254,0)&field=B783_1:string(254,0)&field=B842_1:string(254,0)&field=B865_1:string(254,0)&field=B945_1:string(254,0)&field=B1610_1:string(254,0)&field=B2190_1:string(254,0)&uid={abea23d5-0cf1-4d34-96a9-32b1fc7e017c}"
