,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1
53,POINT (345092.1075395886 4626784.08947115),2018-07-10,0.1288,0.1814,0.2543,0.3835,0.2858,0.3259,0.3592,0.418,0.4964,0.3224,0,0,0,0,26,142,1,81,2018-07-26,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,MR,2111,COLZA,120.0,0.0,B,MA,,CL,D,R,0,VPG,LAI mixto. Las hojas  silicuas aún verdes,345092.107538,4626784.08935,,,,2.338,0.51644941669,,0.0,0.0,,,,,,,,,
54,POINT (345067.1067067641 4626801.016673324),2018-05-07,0.0499,0.1355,0.1252,0.4576,0.1965,0.3987,0.4532,0.4713,0.1949,0.1157,0,0,0,0,27,149,1,81,2018-05-07,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180507-110835-947_L2A_T30TUM_C_V2-2_roi_0.tif,MR,111,COLZA,150.0,25.0,B,FL,,CL,D,I,0,VPG,,345067.106706,4626801.01656,,,,2.126,0.541507156,,0.0,0.0,,,,,,,,,
55,POINT (345315.7407355702 4627123.769646727),2018-07-02,0.0526,0.0806,0.1161,0.2145,0.1419,0.1809,0.2025,0.2417,0.2764,0.1836,0,0,0,0,23,139,1,81,2018-07-06,-4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180706-110918-241_L2A_T30TUM_C_V2-2_roi_0.tif,MR,4113,CEBADA,65.0,0.0,N,SE,,PC,D,R,0,VPG,,345315.740734,4627123.76953,,,,2.286,0.28780201528,,0.0,0.0,,,,,,,,,
56,POINT (345192.99622933625 4627135.232521021),2018-07-10,0.0392,0.0691,0.1003,0.2609,0.1422,0.2106,0.2407,0.2888,0.3033,0.2121,0,0,0,0,24,140,1,81,2018-07-16,-6 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180716-111023-182_L2A_T30TUM_C_V2-2_roi_0.tif,MR,2112,CAMELINA,80.0,0.0,N,SE,,CL,D,R,0,VPG,camelina. LAI mixto por las malas hierbas. LA CAMELINA ESTÁ SENESCENTE,345192.996228,4627135.2324,,,,3.534,0.35075632567,,0.0,0.0,,,,,,,,,
57,POINT (345141.5334553155 4627140.235120462),2018-05-07,0.0614,0.1167,0.1494,0.3498,0.2064,0.3095,0.3414,0.364,0.3376,0.2549,0,0,0,0,27,149,1,81,2018-05-07,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180507-110835-947_L2A_T30TUM_C_V2-2_roi_0.tif,MR,112,CAMELINA,80.0,25.0,B,-1,paralelo to the way,CL,-1,-1,0,-1,CAMELINA tiene muchas calvas y corros. LAI muy variado,345141.533454,4627140.235,,,,2.222,1.11542368632,,0.0,0.0,,,,,,,,,
58,POINT (345321.281681621 4627155.642760949),2018-05-07,0.0427,0.0818,0.0638,0.4155,0.1339,0.3409,0.4079,0.4358,0.2338,0.1361,0,0,0,0,27,149,1,81,2018-05-07,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180507-110835-947_L2A_T30TUM_C_V2-2_roi_0.tif,MR,113,CEBADA,50.0,12.0,N,GU,paralelo al camino de la camelina,CL,D,R,0,VPG,,345321.28168,4627155.64264,,,,1.81,0.46631534395,,0.0,0.0,,,,,,,,,
59,POINT (345296.4756241795 4627179.064489016),2018-07-10,0.0384,0.0647,0.0927,0.2332,0.1306,0.1843,0.2138,0.264,0.2848,0.1688,0,0,0,0,24,140,1,81,2018-07-16,-6 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180716-111023-182_L2A_T30TUM_C_V2-2_roi_0.tif,MR,5113,CEBADA,60.0,0.0,N,SE,,CL,D,R,0,VPG,,345296.475623,4627179.06437,,,,2.908,0.22487774456,,0.0,0.0,,,,,,,,,
60,POINT (344347.56429061707 4627593.729399556),2018-07-11,0.0448,0.0729,0.1165,0.2003,0.1451,0.1669,0.1879,0.2215,0.3152,0.2148,0,0,0,0,26,142,1,83,2018-07-26,-15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,MR,140,ALPISTE,70.0,20.0,N,SE,Parallel to the way,OV,D,R,0,NP,un poco mixto,344347.564289,4627593.72928,,,,1.034,0.18942016788,,0.0,0.0,,,,,,,,,
61,POINT (344384.53595813585 4627621.084068401),2018-07-11,0.0451,0.0774,0.1283,0.207,0.1452,0.1694,0.1895,0.222,0.3198,0.2219,0,0,0,0,26,142,1,83,2018-07-26,-15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,MR,141,ALPISTE,70.0,20.0,N,SE,Parallel to the way,OV,D,R,0,NP,Un poco verde,344384.535957,4627621.08395,,,,1.406,0.24172298194,,0.0,0.0,,,,,,,,,
62,POINT (347342.0146933309 4605237.113360205),2018-06-28,0.0497,0.0765,0.1249,0.2312,0.1444,0.1784,0.206,0.2549,0.3113,0.1941,0,0,0,0,26,142,0,56,2018-07-26,-28 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,4101,LENTEJAS,60.0,0.0,B,MA,,OV,D,R,0,VPG,Full of weeds. Ya tiene la semilla de las lentejas gordita,347342.014692,4605237.11324,,,,4.062,1.00235722175,,0.0,0.0,,,,,,,,,
