,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,FID_,X_UTM,Y_UTM,StudySite,ESUnumber,CropType,Scientific,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,LAI_g_B,fCover,LicorLAI,Pocket_LAI,AccuPAR,443_1,490_1,560_1,665_1,705_1,740_1,783_1,842_1,865_1,945_1,1610_1,2190_1
24,POINT (346841.58800110756 4604909.793115957),2017-06-21,0.0743,0.1155,0.1252,0.3396,0.1606,0.2848,0.3335,0.3495,0.3009,0.2005,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,27.0,346841.588,4604909.793,Greg,28.0,MAIZ,Zea mays,1.15,0.6,B,GU,15N,PC,D,IP,0.0,VPG,9 hojas desarrolladas,g,0.0,2.19,2.606666667,2.632,0.0686,0.0479,0.0812,0.0598,0.1109,0.2836,0.3435,0.341,0.356,0.3306,0.2044,0.1083
25,POINT (345666.74400112557 4626169.109116204),2017-06-20,0.0702,0.1092,0.168,0.292,0.1966,0.2508,0.2809,0.3082,0.3827,0.2993,0,0,0,0,24,146,0,0,2017-05-22,29 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170522-110912-028_L2A_T30TUM_D_V1-4_roi_0.tif,10.0,345666.744,4626169.109,MR,11.0,ALPISTE,Phalaris canariensis,0.5,0.18,N,SE,182S,PC,D,R,0.0,VPG,alpiste no de uso alimentario,b,0.0,0.712,0.88,0.676,0.0714,0.104,0.161,0.2419,0.2666,0.2801,0.2989,0.3256,0.3344,0.3195,0.467,0.3607
26,POINT (345851.1670011241 4626181.927116203),2017-06-20,0.0679,0.1071,0.1813,0.267,0.2088,0.2332,0.2588,0.289,0.3674,0.2598,0,0,0,0,22,141,0,0,2017-06-11,9 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,6.0,345851.167,4626181.927,MR,7.0,TRIGO,Triticum spp,0.4,0.18,N,SE,180S,OV,D,R,0.0,VPG,trigo,b,0.0,0.902,1.34,0.9775,0.0633,0.0748,0.1189,0.1995,0.2397,0.2552,0.2715,0.2864,0.3037,0.306,0.3904,0.2782
27,POINT (345777.11610112374 4626237.410116205),2017-06-20,0.0787,0.1214,0.1926,0.2859,0.2184,0.2451,0.2716,0.3128,0.3801,0.2526,0,0,0,0,22,141,0,0,2017-06-11,9 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,5.0,345777.1161,4626237.41,MR,6.0,CEBADA,Secale cereale,0.0,0.0,N,SE,50NE,OV,D,R,0.0,VPG,,b,0.0,1.55,1.146666667,1.1875,0.0825,0.0983,0.1401,0.2292,0.2537,0.277,0.3001,0.3251,0.3403,0.3688,0.4333,0.2896
28,POINT (345475.98084812704 4626433.177996206),2017-07-21,0.0487,0.0764,0.1133,0.1728,0.1317,0.1482,0.1634,0.1865,0.2669,0.1949,0,0,0,0,24,140,1,82,2017-07-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,51.0,345475.980847,4626433.17788,MR,0.0,TRITORDEUM,Tritordeum,0.9,0.12,N,SE,98E,CL,D,I,0.0,VPG,Tritordeum Irrigated,b,0.0,0.0,0.0,1.684,0.0335,0.0527,0.0837,0.127,0.1487,0.1593,0.1741,0.1902,0.2017,0.2007,0.2815,0.1973
29,POINT (345561.98820112646 4626465.426116207),2017-06-20,0.0555,0.0824,0.0802,0.2974,0.1227,0.2279,0.2811,0.3213,0.1918,0.1119,0,0,0,0,22,141,0,0,2017-06-11,9 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,7.0,345561.9882,4626465.426,MR,8.0,CENTENO,Secale cereale,1.4,0.32,N,MA,315NO,OV,D,IP,0.0,VPG,centeno regadio,b,0.0,4.01,4.126666667,2.0475,0.0637,0.0678,0.0906,0.1367,0.1737,0.1994,0.2321,0.2541,0.2797,0.3043,0.2511,0.1598
30,POINT (354357.7126010594 4618711.336116123),2017-06-22,0.1435,0.1937,0.26,0.3592,0.2786,0.312,0.3389,0.3758,0.46,0.3349,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,44.0,354357.7126,4618711.336,ITA,45.0,AVENA,Avena sativa,0.45,0.12,N,SE,105E,PC,D,R,0.0,VPG,avena muy baja,b,0.0,0.33,0.856666667,0.35,0.118,0.1664,0.2249,0.2941,0.3371,0.355,0.3772,0.3951,0.4131,0.3769,0.493,0.3658
31,POINT (357222.76090103755 4618835.781116125),2017-06-22,0.1211,0.1713,0.2283,0.2817,0.2385,0.2641,0.2822,0.299,0.391,0.3249,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,48.0,357222.7609,4618835.781,ITA,49.0,Bare soil,,0.0,0.0,,,,,,,0.0,VPG,tillage nivel 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,POINT (357145.0710010392 4618855.345116116),2017-06-22,0.0992,0.1417,0.2098,0.3393,0.2416,0.292,0.3217,0.3518,0.3843,0.2821,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,42.0,357145.071,4618855.345,ITA,43.0,AVENA,Avena sativa,0.55,0.12,N,SE,105E,PC,D,R,0.0,VPG,parcela estrecha,b,0.0,0.89,1.746666667,1.0375,0.0831,0.1006,0.1532,0.2271,0.284,0.3264,0.3559,0.3686,0.3825,0.3412,0.4127,0.3072
33,POINT (359213.37230102334 4619598.276116125),2017-06-22,0.0892,0.1314,0.206,0.3275,0.2376,0.2764,0.3077,0.3578,0.3598,0.2285,0,0,0,0,22,140,0,0,2017-06-21,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170621-111222-373_L2A_T30TUM_D_V1-4_roi_0.tif,37.0,359213.3723,4619598.276,ITA,38.0,CEBADA,Hordeum vulgare,0.55,0.15,N,SE,280W,PC,D,R,0.0,VPG,cebada,b,0.0,1.84,2.933333333,1.4775,0.066,0.099,0.1496,0.2392,0.2822,0.2992,0.3276,0.3544,0.3815,0.3498,0.3857,0.2516
34,POINT (347793.1110011098 4628115.7631162265),2017-06-21,0.05,0.0814,0.0623,0.4128,0.1257,0.3849,0.4719,0.4845,0.1762,0.0804,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,12.0,347793.111,4628115.763,MR,13.0,ADORMIDERA,Papaver somniferum,1.06,0.2,B,MA,0,CL,D,IP,0.0,VPG,adormidera 2 regadio cobertura total,g,0.0,3.28,3.446666667,1.903333333,0.054,0.05,0.0829,0.0608,0.1327,0.3201,0.3825,0.3997,0.4018,0.3451,0.2045,0.1126
35,POINT (347807.53432110965 4628117.705176216),2017-07-21,0.0516,0.0833,0.1317,0.214,0.1438,0.1829,0.1938,0.229,0.3469,0.2608,0,0,0,0,24,140,0,79,2017-07-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,55.0,347807.53432,4628117.70506,MR,0.0,ADORMIDERA,Papaver somniferum,1.1,0.2,B,SE,85E,CL,D,I,0.0,VPG,"Cultivo completamente seco. No se han georreferenciado los puntos B-E para no destrozar el cultivo. Sin embargo, si se han medido en 5 puntos aleatorios",b,0.0,0.0,0.0,0.946,0.0639,0.0578,0.0858,0.1389,0.167,0.1785,0.201,0.2252,0.2357,0.2683,0.3983,0.2966
36,POINT (347852.0194661104 4628123.005076216),2017-07-21,0.0471,0.0718,0.1153,0.1876,0.1482,0.1656,0.1972,0.2228,0.3326,0.2609,0,0,0,0,24,140,0,79,2017-07-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,56.0,347852.019465,4628123.00496,MR,0.0,ADORMIDERA,Papaver somniferum,1.0,0.15,B,SE,270W,CL,D,I,0.0,VPG,Se ve el pivot en la parcela,b,0.0,0.0,0.0,0.936,0.0456,0.0472,0.0754,0.1263,0.1502,0.156,0.1775,0.1979,0.2139,0.2368,0.374,0.2855
37,POINT (347861.8393011093 4628128.655116225),2017-06-21,0.0533,0.0834,0.0549,0.5623,0.1249,0.4428,0.5438,0.5602,0.1679,0.0768,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,11.0,347861.8393,4628128.655,MR,12.0,ADORMIDERA,Papaver somniferum,1.08,0.15,B,MA,0,CL,D,IP,0.0,VPG,adormidera sin orientacion con pivot,g,0.0,4.18,2.643333333,1.545660369,0.0569,0.0579,0.097,0.1089,0.1468,0.3076,0.3515,0.3446,0.3841,0.377,0.2479,0.1528
38,POINT (347348.8316291154 4631696.140576267),2017-07-21,0.0747,0.1121,0.1619,0.2534,0.1909,0.2319,0.25,0.2759,0.4199,0.3206,0,0,0,0,24,140,1,81,2017-07-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170711-111223-375_L2A_T30TUM_D_V1-7_roi_0.tif,54.0,347348.831628,4631696.14046,Otro,52.0,ALFALFA,Medicago sativa,0.25,0.15,N,FL,355N,CL,S,R,0.0,VPG,Alfalfa. la parcela de la izquierda es lo mismo. A la derecha habi cereal ya cosechado,g,0.0,0.0,0.0,0.152,0.08,0.0851,0.1274,0.1793,0.2297,0.2636,0.283,0.2828,0.3034,0.3081,0.4499,0.3373
39,POINT (343614.0719011391 4625279.743116181),2017-06-21,0.0584,0.1009,0.1191,0.3598,0.172,0.316,0.3517,0.3767,0.2821,0.1892,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,20.0,343614.0719,4625279.743,MR,21.0,GARBANZOS,Cicer arietinum,0.38,0.2,N,MA,100E,CL,D,R,0.0,VPG,garbanzos verde y amarillo con hierbas verdes. LAI mixto,b,0.0,0.719,1.456666667,1.17,0.0772,0.0987,0.1629,0.2288,0.3078,0.3477,0.3755,0.3775,0.4013,0.3661,0.3901,0.283
40,POINT (345239.5813011285 4625891.96411619),2017-06-21,0.0569,0.0866,0.1047,0.3087,0.148,0.2637,0.2995,0.3238,0.2978,0.2059,0,0,0,0,24,146,0,0,2017-05-22,30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170522-110912-028_L2A_T30TUM_D_V1-4_roi_0.tif,17.0,345239.5813,4625891.964,MR,18.0,VEZA,Vicia sativa,0.3,0.2,N,SE,90E,CL,D,R,0.0,VPG,Veza,b,0.0,0.54,0.706666667,0.854,0.0669,0.0865,0.1291,0.2111,0.2487,0.2629,0.2858,0.304,0.3289,0.3231,0.445,0.309
41,POINT (344668.3902011326 4625978.6601162),2017-06-21,0.0667,0.1076,0.171,0.284,0.2068,0.244,0.2702,0.3081,0.3862,0.2631,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,18.0,344668.3902,4625978.66,MR,19.0,VEZA,Vicia sativa,0.38,0.13,N,SE,80E,CL,D,R,0.0,VPG,Veza es la misma parcela que la ESU18,b,0.0,0.542,0.773333333,0.9325,0.0649,0.0814,0.1272,0.2063,0.2551,0.2689,0.2961,0.3031,0.3359,0.3249,0.445,0.3179
42,POINT (344721.19090113137 4626045.09411619),2017-06-21,0.0605,0.0849,0.1311,0.2151,0.152,0.1796,0.2014,0.235,0.3292,0.2196,0,0,0,0,22,141,0,0,2017-06-11,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20170611-111012-353_L2A_T30TUM_D_V1-4_roi_0.tif,19.0,344721.1909,4626045.094,MR,20.0,TRIGO,Triticum spp,0.55,0.12,N,SE,350N,CL,D,R,0.0,VPG,trigo,b,0.0,0.92,1.666666667,0.876,0.0602,0.073,0.1031,0.1606,0.1814,0.2056,0.2316,0.25,0.271,0.2817,0.3674,0.2461
