,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
10,POINT (355259.0896156246 4811660.580328564),2017-11-28,0.0384,0.0729,0.0475,0.39,0.1049,0.3416,0.3865,0.3972,0.1334,0.0616,0,0,0,0,65,168,1,294,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BON-33,1.211307,43.443861,1.51,1.58,1.51,1.51,1.91,1.7,1.48,3.57,3.13,3.57,1.7
11,POINT (354629.49327609537 4814171.369879725),2018-05-02,0.0179,0.0333,0.0165,0.41,0.0504,0.275,0.4055,0.4269,0.1137,0.046,0,0,0,0,33,155,1,264,2018-04-21,11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,2.55,,,,,,,3.41,,,
12,POINT (354981.35999888997 4814279.7849606825),2018-02-27,0.026,0.0561,0.0415,0.2343,0.1004,0.2059,0.2308,0.2408,0.1534,0.0869,0,0,0,0,54,158,1,261,2018-02-25,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.492,winter wheat,BRA-11-19,1.20718,43.4673799999999,1.07,1.0,1.08,1.03,0.96,0.99,0.89,1.6,1.31,1.6,1.06
13,POINT (354793.788638311 4814776.053129199),2017-11-27,0.0488,0.0821,0.0735,0.3374,0.1268,0.3097,0.343,0.3494,0.1745,0.1094,0,0,0,0,64,168,1,263,2017-11-22,5 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20473,43.47181,0.98,1.03,0.98,0.93,1.3,1.19,1.0,2.14,1.89,2.14,0.98
14,POINT (354795.332944873 4814795.131114626),2018-04-05,0.0118,0.035,0.0129,0.4212,0.061,0.3316,0.4145,0.4272,0.1024,0.0498,0,0,0,0,45,157,1,264,2018-03-22,14 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.204744,43.471982,1.5,1.6,1.5,1.63,2.32,1.94,1.62,2.16,1.96,2.16,1.81
15,POINT (354769.4331747949 4814809.912030646),2018-03-01,0.0373,0.0597,0.0529,0.3464,0.0918,0.2989,0.3409,0.3577,0.1374,0.0722,0,0,0,0,54,158,1,261,2018-02-25,4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20442,43.47211,0.85,0.88,0.85,0.84,1.02,0.99,0.84,1.83,1.46,1.83,0.88
16,POINT (354769.4331747949 4814809.912030646),2018-05-28,0.0335,0.0666,0.0342,0.4616,0.0969,0.3719,0.4594,0.4757,0.0889,0.0398,0,0,0,0,27,152,1,264,2018-05-11,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20442,43.47211,2.12,2.13,2.12,2.13,2.28,2.15,1.89,2.7,2.64,2.7,2.3
17,POINT (354769.4331747949 4814809.912030646),2018-05-04,0.0463,0.1346,0.1161,0.4984,0.1644,0.4101,0.501,0.5108,0.1407,0.0712,0,0,0,0,33,155,1,264,2018-04-21,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20442,43.47211,3.44,3.25,3.44,3.37,3.09,3.2,2.83,4.54,4.39,4.54,3.63
18,POINT (354986.772381886 4814906.895404011),2017-11-28,0.0369,0.0685,0.0396,0.4158,0.1183,0.3756,0.4126,0.4273,0.1302,0.0524,0,0,0,0,65,168,1,261,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-61,1.20708,43.473025,1.32,1.54,1.32,1.54,2.08,1.77,1.46,2.69,2.6,2.69,1.58
19,POINT (356669.99044031696 4814911.41052826),2018-05-02,0.0453,0.0792,0.0607,0.3046,0.1123,0.255,0.2948,0.3099,0.1513,0.0839,0,0,0,0,33,155,1,296,2018-04-21,11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.22788,43.47339,,,,,,,,,,,
