,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
54,POINT (543584.9452567669 4606588.251173729),2017-03-22,0.0273,0.0525,0.0306,0.3257,0.0844,0.2789,0.3318,0.3433,0.1629,0.085,0,0,0,0,48,156,0,0,2017-03-09,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,47,AA.S_Capitanata.35_2017_LAI,10:24 AM,Riefolo C. - Ruggieri S.,41.609817,15.523092,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.900,0.370,,,,,
55,POINT (547540.649867795 4607232.2968119355),2017-03-21,0.0333,0.0513,0.0265,0.4116,0.0837,0.3422,0.4078,0.4228,0.126,0.0549,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,35,AA.S_Capitanata.23_2017_LAI,5:38 PM,Riefolo C. - Ruggieri S.,41.615392,15.570616,>50 cm,40,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,3.920,0.530,,,,,
56,POINT (543376.259894208 4607271.352881742),2017-03-22,0.0252,0.046,0.0319,0.2804,0.0778,0.2422,0.2899,0.3,0.1626,0.0943,0,0,0,0,48,156,0,0,2017-03-09,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,49,AA.S_Capitanata.37_2017_LAI,10:38 AM,Riefolo C. - Ruggieri S.,41.615981,15.520637,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.100,0.140,,,,,
57,POINT (543512.3552929165 4607361.329419552),2017-03-22,0.0212,0.0544,0.0175,0.4314,0.0828,0.3409,0.4228,0.441,0.1611,0.0743,0,0,0,0,48,156,0,0,2017-03-09,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,48,AA.S_Capitanata.36_2017_LAI,10:29 AM,Riefolo C. - Ruggieri S.,41.616784,15.522277,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.580,0.060,,,,,
58,POINT (546101.5415077425 4607692.009620266),2017-03-21,0.0223,0.0431,0.0151,0.477,0.0654,0.3417,0.4698,0.4981,0.1405,0.0604,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,26,AA.S_Capitanata.14_2017_LAI,4:59 PM,Riefolo C. - Ruggieri S.,41.619617,15.553379,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,6.810,0.410,,,,,
59,POINT (546101.5415077425 4607692.009620266),2017-03-21,0.0223,0.0431,0.0151,0.477,0.0654,0.3417,0.4698,0.4981,0.1405,0.0604,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,27,AA.S_Capitanata.15_2017_LAI,5:01 PM,Riefolo C. - Ruggieri S.,41.619617,15.553379,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,6.970,1.428,,,,,
60,POINT (546055.382444717 4607861.584461179),2017-03-21,0.0258,0.0451,0.0163,0.4268,0.069,0.3214,0.4204,0.4404,0.138,0.0613,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,28,AA.S_Capitanata.16_2017_LAI,5:02 PM,Riefolo C. - Ruggieri S.,41.621147,15.552838,>50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,5.840,0.540,,,,,
61,POINT (547879.1943226054 4607966.9895228455),2017-03-21,0.0438,0.0561,0.0493,0.1561,0.0801,0.1291,0.1484,0.1563,0.152,0.095,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,32,AA.S_Capitanata.20_2017_LAI,5:31 PM,Riefolo C. - Ruggieri S.,41.621989,15.574738,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.870,0.390,,,,,
62,POINT (547658.3562360774 4608052.344647442),2017-03-21,0.0397,0.058,0.0413,0.2089,0.0846,0.1723,0.2009,0.209,0.1505,0.0836,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,31,AA.S_Capitanata.19_2017_LAI,5:22 PM,Riefolo C. - Ruggieri S.,41.622771,15.572094,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,6.000,0.710,,,,,
10,POINT (542305.0288903399 4590309.005795515),2017-03-29,0.0482,0.0779,0.0737,0.2211,0.1169,0.198,0.2196,0.2392,0.2149,0.1481,0,0,0,0,44,155,0,0,2017-03-19,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170319-095021-462_L2A_T33TWG_D_V1-4_roi_0.tif,64,2CT_STRATEGA_20170329_LAI,10:44 AM,Colecchia S.A. - De Santis A.P.,41.463258,15.506586,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.390,0.198,,,,,
64,POINT (547018.0425307036 4608345.234485996),2017-03-21,0.0246,0.0448,0.0204,0.3561,0.0755,0.2833,0.3554,0.3745,0.1316,0.0599,0,0,0,0,48,156,0,0,2017-03-09,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,30,AA.S_Capitanata.18_2017_LAI,5:20 PM,Riefolo C. - Ruggieri S.,41.625447,15.564431,>50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,6.090,0.790,,,,,
12,POINT (542359.9657650598 4590453.990368482),2017-03-29,0.0648,0.0882,0.1072,0.2461,0.148,0.2174,0.2425,0.2728,0.287,0.1935,0,0,0,0,44,155,0,0,2017-03-19,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170319-095021-462_L2A_T33TWG_D_V1-4_roi_0.tif,63,1NT_STRATEGA_20170329_LAI,10:36 AM,Colecchia S.A. - De Santis A.P.,41.464561,15.507254,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.855,0.219,,,,,
66,POINT (542649.5312055713 4609130.242294302),2017-03-22,0.022,0.0435,0.0182,0.3362,0.0664,0.2715,0.342,0.3602,0.1356,0.0598,0,0,0,0,48,156,0,0,2017-03-09,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,52,AA.S_Capitanata.40_2017_LAI,10:49 AM,Riefolo C. - Ruggieri S.,41.632763,15.512047,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.310,0.290,,,,,
67,POINT (542551.5392261946 4609248.90324339),2017-03-22,0.0343,0.0543,0.0457,0.2248,0.0832,0.2052,0.2316,0.247,0.1501,0.0921,0,0,0,0,48,156,0,0,2017-03-09,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170309-095021-464_L2A_T33TWG_D_V1-4_roi_0.tif,53,AA.S_Capitanata.41_2017_LAI,10:51 AM,Riefolo C. - Ruggieri S.,41.633837,15.510879,>50 cm,40,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,1.880,0.510,,,,,
