,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1
67,POINT (358061.9362637116 4618282.32512029),2018-07-10,0.1379,0.2092,0.2934,0.3669,0.3177,0.3488,0.3658,0.3895,0.4668,0.4071,0,0,0,0,22,141,0,208,2018-06-16,24 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,126,PATATA,35.0,70.0,B,FL,parallel to the way,CL,S,I,0,VPG,hay un cerco pelado cerca,358061.936263,4618282.325,,,,0.464,0.24058262614,,0.0,0.0,,,,,,,,,
102,POINT (345364.5469071673 4626427.978790575),2018-05-07,0.0882,0.1316,0.1796,0.2532,0.2025,0.2278,0.2449,0.2661,0.3999,0.3304,0,0,0,0,33,153,1,80,2018-04-17,20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,MR,117,GARBANZOS,6.0,15.0,B,GU,paralelo to the way between sugarbeet,CL,D,R,0,VPG,,345364.546906,4626427.97867,,,,0.16,0.09027735043,,0.0,0.0,,,,,,,,,
69,POINT (358213.07677279995 4618304.439719851),2018-07-10,0.0368,0.0641,0.0556,0.3136,0.0909,0.2442,0.308,0.3317,0.1795,0.0999,0,0,0,0,22,141,0,208,2018-06-16,24 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,127,MEZCLA AVENA-TRIGO,125.065,0.0,N,SE,,CL,D,-1,0,-1,sembrado trigo y avena loca. altura de los dos,358213.076772,4618304.4396,,,,1.78,0.39223717315,,0.0,0.0,,,,,,,,,
70,POINT (358281.8729802192 4618417.485120377),2018-07-10,0.0306,0.0585,0.0426,0.3168,0.0879,0.2412,0.3063,0.3353,0.1625,0.0893,0,0,0,0,22,141,0,209,2018-06-16,24 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,128,MEZCLA AVENA-TRIGO,0.0,0.0,N,SE,,CL,D,R,0,-1,trigo con mucha avena loca,358281.872979,4618417.485,,,,2.006,0.58947434211,,0.0,0.0,,,,,,,,,
71,POINT (356247.6463393164 4618482.430880356),2018-07-10,0.0312,0.0615,0.0385,0.4182,0.1018,0.3058,0.4023,0.434,0.1562,0.0798,0,0,0,0,22,141,0,34,2018-06-16,24 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,135,CEBADA,75.0,10.0,N,SE,Parallel of the way,CL,D,R,0,NP,,356247.646338,4618482.43076,,,,3.868,0.29811071769,,0.0,0.0,,,,,,,,,
106,POINT (345467.82697658916 4626917.15253452),2018-05-07,0.0716,0.1122,0.1424,0.2928,0.1883,0.2635,0.2861,0.3074,0.3593,0.2723,0,0,0,0,33,153,1,81,2018-04-17,20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,MR,114,VEZA,30.0,0.0,B,GU,,CL,D,R,0,VPG,,345467.826975,4626917.15242,,,,1.728,0.42815884903,,0.0,0.0,,,,,,,,,
73,POINT (345471.83686850674 4603233.7701159455),2018-05-11,0.035,0.0708,0.0343,0.5796,0.1171,0.4443,0.5696,0.5888,0.1944,0.1078,0,0,0,0,30,151,0,62,2018-04-27,14 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180427-111527-232_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,2102,RAYGRAS,20.0,0.0,N,GU,,PC,-1,R,0,VPG,lo han segado. merece la pena seguir mi siendo el lai aquí?,345471.836867,4603233.77,,,,1.11,1.7818669984,,0.0,0.0,,,,,,,,,
108,POINT (345341.7887746757 4627114.011399882),2018-05-17,0.0602,0.0942,0.0884,0.3375,0.1508,0.2927,0.3321,0.3537,0.2688,0.1658,0,0,0,0,33,153,1,81,2018-04-17,30 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,MR,2113,CEBADA,65.0,0.0,N,MA,,CL,D,R,0,VPG,,345341.788774,4627114.01128,,,,2.624,0.40109849165,,0.0,0.0,,,,,,,,,
75,POINT (345513.30334445095 4603281.391645707),2018-06-28,0.0841,0.1281,0.1268,0.3879,0.2002,0.3125,0.3577,0.4117,0.3511,0.2316,0,0,0,0,22,140,0,67,2018-06-16,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,4102,RAYGRAS,20.0,0.0,-1,GU,,PC,D,R,0,VPG,segado no hace mucho. Se ha empacado toda la siega. amontonadas en 2 torres. es como medir sobre un césped,345513.303343,4603281.39153,,,,0.73,0.20615528128,,0.0,0.0,,,,,,,,,
110,POINT (345680.1571122671 4627209.61868147),2018-05-07,0.0493,0.0752,0.0654,0.336,0.1168,0.2786,0.3338,0.3539,0.213,0.1228,0,0,0,0,33,153,1,80,2018-04-17,20 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180417-110822-655_L2A_T30TUM_C_V2-2_roi_0.tif,MR,115,CENTENO,80.0,0.0,N,GU,,PC,D,-1,0,-1,,345680.157111,4627209.61857,,,,3.57,0.91495901548,,0.0,0.0,,,,,,,,,
