,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
10,POINT (355259.0896156246 4811660.580328564),2017-11-28,0.0423,0.0762,0.0505,0.3759,0.1092,0.3357,0.3759,0.3819,0.1415,0.0682,0,0,0,0,63,169,1,262,2017-11-17,11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171117-105314-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BON-33,1.211307,43.443861,1.51,1.58,1.51,1.51,1.91,1.7,1.48,3.57,3.13,3.57,1.7
47,POINT (350880.00130164577 4817467.022935166),2017-11-29,0.0416,0.061,0.0464,0.4076,0.1263,0.3689,0.4095,0.4244,0.1275,0.0508,0,0,0,0,65,168,1,255,2017-11-27,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-29,1.155629,43.495258,1.17,1.17,1.17,1.16,1.42,1.3,1.13,2.22,1.66,2.23,1.17
30,POINT (353927.8194270128 4814833.227965947),2018-03-01,0.0348,0.0634,0.0532,0.3283,0.0982,0.282,0.3224,0.3397,0.1276,0.0684,0,0,0,0,54,158,1,260,2018-02-25,4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-70,1.1940134,43.472156,1.06,1.01,1.06,1.04,1.2,1.11,0.99,2.12,1.53,2.13,1.06
13,POINT (354793.788638311 4814776.053129199),2017-11-27,0.0492,0.0804,0.0747,0.3178,0.1186,0.2894,0.3135,0.3248,0.1709,0.1014,0,0,0,0,63,169,1,260,2017-11-17,10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171117-105314-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-59,1.20473,43.47181,0.98,1.03,0.98,0.93,1.3,1.19,1.0,2.14,1.89,2.14,0.98
28,POINT (356891.32573221275 4815464.478141185),2018-04-05,0.0338,0.0541,0.041,0.344,0.0829,0.2757,0.3299,0.3404,0.1216,0.0725,0,0,0,0,45,157,1,296,2018-03-22,14 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23047,43.47841,1.57,1.75,1.57,1.75,2.76,2.16,1.79,2.12,2.15,2.12,2.14
9,POINT (353600.3250378505 4814596.336185847),2018-05-04,0.0511,0.1527,0.1382,0.5396,0.1961,0.4508,0.5459,0.5581,0.1566,0.0838,0,0,0,0,33,155,1,263,2018-04-21,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-54,1.19003,43.46996,2.82,2.81,2.81,2.79,3.26,3.03,2.63,3.23,2.67,3.24,2.84
54,POINT (356795.5194854366 4816426.2911276),2017-11-29,0.0691,0.1058,0.1333,0.1704,0.1445,0.1612,0.1686,0.1766,0.2103,0.1743,0,0,0,0,64,169,1,296,2017-11-22,7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BLA-1-4,1.229033,43.487048,0.16,0.14,0.15,0.16,0.12,0.14,0.12,0.16,0.16,0.16,0.17
11,POINT (354629.49327609537 4814171.369879725),2018-05-02,0.0179,0.0333,0.0165,0.41,0.0504,0.275,0.4055,0.4269,0.1137,0.046,0,0,0,0,33,155,1,264,2018-04-21,11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,2.55,,,,,,,3.41,,,
54,POINT (356795.5194854366 4816426.2911276),2017-11-29,0.0475,0.0722,0.088,0.1274,0.1001,0.1169,0.1225,0.1309,0.1527,0.1106,0,0,0,0,65,168,1,293,2017-11-27,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BLA-1-4,1.229033,43.487048,0.16,0.14,0.15,0.16,0.12,0.14,0.12,0.16,0.16,0.16,0.17
57,POINT (356928.13110542204 4819568.138860158),2017-11-28,0.0352,0.0707,0.0416,0.4312,0.1077,0.3865,0.4353,0.4542,0.141,0.0595,0,0,0,0,64,169,1,270,2017-11-22,6 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BOP-13,1.229846,43.51535,1.74,1.8,1.74,1.75,2.0,1.82,1.62,3.88,3.52,3.88,1.81
46,POINT (350880.00130164577 4817467.022935166),2018-04-05,0.0392,0.0589,0.0717,0.2813,0.1301,0.2576,0.2913,0.3076,0.1227,0.072,0,0,0,0,52,158,1,259,2018-03-02,34 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-29,1.155629,43.495258,0.6,0.72,0.6,0.79,1.13,0.88,0.72,0.77,0.85,0.78,0.82
57,POINT (356928.13110542204 4819568.138860158),2017-11-28,0.0371,0.0644,0.0368,0.4264,0.0993,0.3689,0.4209,0.4431,0.1313,0.0504,0,0,0,0,65,168,1,267,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BOP-13,1.229846,43.51535,1.74,1.8,1.74,1.75,2.0,1.82,1.62,3.88,3.52,3.88,1.81
