,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
19,POINT (540500.4865393633 4603144.092386315),2017-03-21,0.0109,0.0211,0.0062,0.484,0.0369,0.2834,0.4713,0.5014,0.1199,0.046,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,22,AA.S_Capitanata.10_2017_LAI,4:30 PM,Riefolo C. - Ruggieri S.,41.578958,15.485842,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.400,0.764,,,,,
20,POINT (541327.2501338124 4610803.5584951695),2017-03-22,0.0156,0.0378,0.0126,0.4544,0.0641,0.3128,0.4331,0.4582,0.1206,0.0492,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,61,AA.S_Capitanata.49_2017_LAI,11:47 AM,Riefolo C. - Ruggieri S.,41.647904,15.496288,>50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.230,0.490,,,,,
21,POINT (541418.6678790473 4610922.328246129),2017-03-22,0.0258,0.0573,0.0281,0.3245,0.0889,0.2796,0.3291,0.3441,0.1211,0.0581,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,60,AA.S_Capitanata.48_2017_LAI,11:43 AM,Riefolo C. - Ruggieri S.,41.648969,15.497394,10-30 cm,35,Barley,,,Orzo,Hordeum vulgaris L.,,,,Sunny - no clouds,2.370,1.000,,,,,
22,POINT (541945.7859482203 4610253.901744339),2017-03-22,0.0141,0.0337,0.0097,0.4798,0.0599,0.3293,0.4658,0.4959,0.1169,0.0482,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,57,AA.S_Capitanata.45_2017_LAI,11:19 AM,Riefolo C. - Ruggieri S.,41.642921,15.503677,>50 cm,35,Barley,,,Orzo,Hordeum vulgaris L.,,,,Sunny - no clouds,5.630,0.610,,,,,
23,POINT (541983.719643792 4610346.719322259),2017-03-22,0.033,0.0513,0.0431,0.2607,0.0714,0.2269,0.2675,0.29,0.131,0.0842,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,56,AA.S_Capitanata.44_2017_LAI,11:15 AM,Riefolo C. - Ruggieri S.,41.643755,15.504139,30-50 cm,38,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,1.910,0.780,,,,,
24,POINT (541938.7897349251 4610382.318235534),2017-03-22,0.0124,0.0277,0.0085,0.4788,0.0475,0.3057,0.4682,0.4823,0.1126,0.0417,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,58,AA.S_Capitanata.46_2017_LAI,11:23 AM,Riefolo C. - Ruggieri S.,41.644078,15.503602,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.760,0.440,,,,,
25,POINT (541938.7897349251 4610382.318235534),2017-03-22,0.0124,0.0277,0.0085,0.4788,0.0475,0.3057,0.4682,0.4823,0.1126,0.0417,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,59,AA.S_Capitanata.47_2017_LAI,11:26 AM,Riefolo C. - Ruggieri S.,41.644078,15.503602,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.760,1.450,,,,,
26,POINT (542377.9594574135 4590304.992224817),2017-03-29,0.0397,0.0636,0.0601,0.2675,0.1048,0.2253,0.2583,0.2861,0.2269,0.1438,0,0,0,0,36,154,0,0,2017-04-08,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,71,9NT_STRATEGA_20170329_LAI,10:26 AM,Colecchia S.A. - De Santis A.P.,41.463218,15.507459,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.783,0.106,,,,,
42,POINT (545787.6314331995 4603331.335690762),2017-03-21,0.086,0.1143,0.1528,0.1943,0.1625,0.1755,0.1907,0.2103,0.2983,0.2555,0,0,0,0,26,143,1,255,2017-07-27,-128 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170727-095429-569_L2A_T33TWG_D_V1-7_roi_0.tif,40,AA.S_Capitanata.28_2017_LAI,6:18 PM,Riefolo C. - Ruggieri S.,41.580359,15.549278,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.630,0.620,,,,,
28,POINT (542423.9867758902 4590431.05117124),2017-03-29,0.0313,0.0618,0.0433,0.2674,0.0937,0.237,0.2697,0.2846,0.1604,0.0915,0,0,0,0,36,154,0,0,2017-04-08,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,72,10CT_STRATEGA_20170329_LAI,10:33 AM,Colecchia S.A. - De Santis A.P.,41.464351,15.508019,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.700,1.067,,,,,
