,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
55,POINT (356795.5194854366 4816426.2911276),2018-02-27,0.0281,0.0524,0.0386,0.2701,0.089,0.2295,0.2681,0.2788,0.1421,0.0817,0,0,0,0,45,157,1,296,2018-03-22,-23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BLA-1-4,1.229033,43.487048,0.84,0.71,0.84,0.77,0.58,0.67,0.63,1.04,0.82,1.04,0.77
40,POINT (350890.3057286424 4817092.446168891),2018-05-29,0.0469,0.072,0.1052,0.1712,0.1225,0.1394,0.1595,0.1909,0.2196,0.1433,0,0,0,0,23,143,1,259,2018-06-30,-32 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180630-105440-000_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter wheat,ANJ-28,1.155859,43.491889,2.59,2.47,2.59,2.57,2.13,2.3,2.06,3.66,3.26,3.66,2.69
41,POINT (350890.3057286424 4817092.446168891),2018-06-20,0.0469,0.072,0.1052,0.1712,0.1225,0.1394,0.1595,0.1909,0.2196,0.1433,0,0,0,0,23,143,1,259,2018-06-30,-10 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180630-105440-000_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.155859,43.491889,0.19,0.19,0.19,0.2,0.22,0.21,0.17,0.21,0.22,0.21,0.21
70,POINT (358888.4719634021 4813275.6935910145),2018-02-27,0.0468,0.0912,0.0696,0.3545,0.1574,0.3273,0.3628,0.3642,0.19,0.1028,0,0,0,0,52,158,2,296,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-18-3-B,1.25572,43.45909,1.34,1.32,1.34,1.31,1.27,1.34,1.13,1.67,1.63,1.67,1.43
71,POINT (357167.28269570717 4814169.737223526),2018-02-27,0.0545,0.0804,0.0856,0.3567,0.147,0.3094,0.3386,0.3512,0.1737,0.1024,0,0,0,0,52,158,2,296,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,MER-27,1.23422,43.46681,0.82,0.75,0.82,0.73,0.75,0.79,0.71,1.61,1.03,1.61,0.67
2,POINT (354629.49327609537 4814171.369879725),2018-06-20,0.053,0.0852,0.1299,0.2386,0.1574,0.1963,0.2208,0.2622,0.2213,0.1367,0,0,0,0,23,144,1,261,2018-06-25,-5 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180625-105253-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BRA-12-18,1.202861,43.466336,0.07,0.08,0.08,0.09,0.13,0.1,0.08,0.08,0.08,0.08,0.1
45,POINT (350880.00130164577 4817467.022935166),2018-05-02,0.0848,0.1313,0.1758,0.3681,0.2249,0.3144,0.3516,0.4111,0.3772,0.2254,0,0,0,0,23,143,1,259,2018-06-30,-59 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180630-105440-000_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-29,1.155629,43.495258,3.4,,,,,,,4.39,,,
4,POINT (354629.49327609537 4814171.369879725),2018-05-29,0.053,0.0852,0.1299,0.2386,0.1574,0.1963,0.2208,0.2622,0.2213,0.1367,0,0,0,0,23,144,1,261,2018-06-25,-27 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180625-105253-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter wheat,BRA-12-18,1.202861,43.466336,3.84,3.73,3.84,3.83,3.38,3.52,3.15,5.25,5.16,5.25,4.04
43,POINT (350863.23947100085 4817130.491957843),2018-04-05,0.0159,0.0322,0.021,0.3013,0.0557,0.2133,0.2861,0.3168,0.1028,0.0489,0,0,0,0,33,155,1,260,2018-04-21,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.155514,43.492226,2.18,2.21,2.18,2.21,1.85,1.96,1.74,2.99,2.82,2.99,2.4
76,POINT (357438.509720561 4814710.652241848),2017-11-28,0.0321,0.0387,0.0518,0.0753,0.0615,0.072,0.0817,0.0875,0.0682,0.0489,0,0,0,0,68,165,1,293,2017-12-27,-29 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171227-105435-461_L2A_T31TCJ_D_V1-4_roi_0.tif,DHP,V6.495,winter oilseedrape,MER-37,1.23743,43.47173,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.05,0.0
